IE_XML_ID,IE_NAME,IE_ID,IE_CODE,Фото,Логотип,Задача,Клиент
377,Горнорудная компания “Алроса”,377,alrosa-presentation,https://veonix.ru/wp/wp-content/uploads/2019/06/alrosa640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/alrosalogo.svg,Дизайн и верстка маркетингового отчета о продвижении продукции бренда,Горнорудная компания “Алроса”
407,Jeratix,407,analytical-platform,https://veonix.ru/wp/wp-content/uploads/2019/02/jeratix001.png,https://veonix.ru/wp/wp-content/uploads/2019/02/jeratixlogo.svg,"Создать интуитивно понятный, современный интерфейс платформы","Аналитической платформы ""Jeratix"""
409,Кадровое агентство АРТБ,409,artb,https://veonix.ru/wp/wp-content/uploads/2019/06/artb640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/artblogo.svg,Создание современного многостраничного сайта кадрового агентства с адаптивной версткой,Кадровое агентство АРТБ
412,Перевозчик крупногабаритных грузов,412,barrus-website,https://veonix.ru/wp/wp-content/uploads/2019/09/barrusweb640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/09/barrus.svg,Разработка сайта логистической компании,Перевозчик крупногабаритных грузов 
391,"Инвестиционный фонд ""Bars Capital LTD""",391,bars-capital-ltd,https://veonix.ru/wp/wp-content/uploads/2019/09/barscap640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/09/barslogo.svg,Создать мощный маркетинг-кит и презентацию,"Инвестиционный фонд ""Bars Capital LTD"""
345,"Мобильный оператор ""Билайн""",345,beeline-presentation,https://veonix.ru/wp/wp-content/uploads/2018/06/beeline640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/p3.svg,"Создать лаконичную корпоративную презентацию 
о компании на английском языке","Мобильный оператор ""Билайн"""
335,Косметическая компания,335,branding-cosmetics,https://veonix.ru/wp/wp-content/uploads/2018/06/moran640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/moran.svg,Разработка единой стилистической концепции бренда,Косметическая компания
331,1C:Отель,331,branding-it-companies,https://veonix.ru/wp/wp-content/uploads/2018/06/1chotel640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color1806181-chotel.svg,Разработка корпоративной айдентики и маркетинг-кита,Интегратор ИТ-систем 1C:Отель
338,"Логистическая компания ""Barrus Projects""",338,branding-logistics-company,https://veonix.ru/wp/wp-content/uploads/2018/11/zakazat-firmenniy-stil-logisticheskoy-kompanii.png,https://veonix.ru/wp/wp-content/uploads/2018/11/barruss.svg,"Разработка айдентики, интернет портала, презентации","Логистическая компания ""Barrus Projects"""
339,"Компания ""Технологии приборостроения""",339,branding-production,https://veonix.ru/wp/wp-content/uploads/2018/11/zakazatfirmenniystilproizvodstvo.png,https://veonix.ru/wp/wp-content/uploads/2018/11/ТП_3_на-сайт.svg,"Брендинг, разработка серии веб-сайтов","Компания ""Технологии приборостроения"""
355,Компания Thermos,355,business-presentation-for-meetings,https://veonix.ru/wp/wp-content/uploads/2018/06/thermos640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618thermos.svg,Разработка презентации для деловых встреч,Компания Thermos
364,Ситилинк,364,citilink-presentation,https://veonix.ru/wp/wp-content/uploads/2018/12/citilink640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/12/citilink.svg,Разработка презентации,Ситилинк
361,"Оптовый поставщик кофе ""BoneFuse""",361,coffee-presentation,https://veonix.ru/wp/wp-content/uploads/2018/11/bonfuse.png,https://veonix.ru/wp/wp-content/uploads/2018/11/bonfuse-logo.svg,"Разработка фирменного стиля, презентации","Оптовый поставщик кофе ""BoneFuse"""
410,Gasparov Empire,410,confectionery-to-order-website,https://veonix.ru/wp/wp-content/uploads/2019/06/gasparovem640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logogasparov.svg,Создание сайта кондитерской,Gasparov Empire 
405,PR-агентство,405,copywriter-agency-pr-website,https://veonix.ru/wp/wp-content/uploads/2018/06/pr-agency-site.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color190618-4.svg,Разработка дизайна посадочной страницы,PR-агентство
334,Инвестиционная компания Ярд Капитал,334,corporate-identity-investment,https://veonix.ru/wp/wp-content/uploads/2018/06/firmenniy-stil-investicionnoy-kompanii.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618.svg,Разработка бренда для криптофонда,Инвестиционная компания Ярд Капитал
337,Стартап в области ритейла,337,corporate-identity-startup,https://veonix.ru/wp/wp-content/uploads/2018/06/bitposter640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618bitposter.svg,Разработка фирменного стиля,Стартап в области ритейла
349,Застройщик выставочных стендов премиум-сегмента,349,corporate-style-event-agencies,https://veonix.ru/wp/wp-content/uploads/2018/06/winsla640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618winsla.svg,Разработка корпоративной айдентики для повышения продаж,Застройщик выставочных стендов премиум-сегмента
340,Эко-ферма,340,dairy-packaging,https://veonix.ru/wp/wp-content/uploads/2019/05/milkgasparov001.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logogasparov.svg,Разработка бренда молочной продукции,Эко-ферма
333,Производитель спортивных напитков,333,design-bottles,https://veonix.ru/wp/wp-content/uploads/2018/06/fil8.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618freshpoint.svg,Разработка дизайна бутылки и этикетки спортивной воды,Производитель спортивных напитков
336,Чайная компания,336,design-tea,https://veonix.ru/wp/wp-content/uploads/2018/06/design-tea.png,https://veonix.ru/wp/wp-content/uploads/2018/06/p25.svg,Разработать дизайн упаковки для чая,Чайная компания
396,Unicredit Bank,396,dizajn-prezentacij-dlya-obucheniya-sotrudnikov-unicredit-bank,https://veonix.ru/wp/wp-content/uploads/UniCredit_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/UniCredit_logo.svg,Разработка серии презентаций,Unicredit Bank
341,Индивидуальный предприниматель,341,dizajn-upakovki-vitamin,https://veonix.ru/wp/wp-content/uploads/Octagon_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Octagon_logo.svg,Стильный дизайн для товаров на Amazon,Индивидуальный предприниматель 
343,Fit & Eat,343,dizajn-upakovok-dlya-arahisovoj-i-kokosovoj-past-fit-eat,https://veonix.ru/wp/wp-content/uploads/Peanut-butter_preview-1.png,https://veonix.ru/wp/wp-content/uploads/fit_eat_logo.svg,Разработать яркий и узнаваемый дизайн упаковок для двух видов продуктов здорового питания,Fit & Eat
342,Agro Export Russia,342,dizajn-vystavki,https://veonix.ru/wp/wp-content/uploads/Agro_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Agrologo_white.svg,Разработать книгу фирменного стиля для единого оформления деловых мероприятий бренда,Agro Export Russia
352,Евраз Металл Инпром,352,evraz,https://veonix.ru/wp/wp-content/uploads/2018/06/fil19.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618-6.svg,Разработка презентации производства,Евраз Металл Инпром
353,Косметическая компания Летуаль,353,flying-presentation,https://veonix.ru/wp/wp-content/uploads/2018/06/letoile640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618-3.svg,Создание презентации,Косметическая компания Летуаль
344,Корпоративный университет «Газпром»,344,gazprom-training-video,https://veonix.ru/wp/wp-content/uploads/Gazprom_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Gazprom_logo.svg,Монтаж обучающих видеороликов,Корпоративный университет «Газпром»
408,"Салон красоты ""Aiva""",408,hair-salon-studio-hair-studio,https://veonix.ru/wp/wp-content/uploads/2019/05/Aiva-03-640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logo-aiva4.svg,Разработка лендинга для получения заявок из таргетированной рекламы,"Салон красоты ""Aiva"""
363,Кальяны DarkSide,363,hookah-presentation,https://veonix.ru/wp/wp-content/uploads/2018/12/presentaciyakalyannoy.png,https://veonix.ru/wp/wp-content/uploads/2018/12/hookah.svg,Разработка презентации,Кальяны DarkSide
378,Страховая компания “Паритет-СК”,378,insurance-company-annual-report,https://veonix.ru/wp/wp-content/uploads/2019/06/paritetsk640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/paritetlogo.svg,Создание динамичной презентации,Страховая компания “Паритет-СК”
419,Производитель гречишного чая “The Ritual”,419,internet-magazin-chay,https://veonix.ru/wp/wp-content/uploads/The-ritual-tea_preview.jpg,https://veonix.ru/wp/wp-content/uploads/the-ritual-tea-01.svg,Разработать дизайн сайта и упаковки для чая,Производитель гречишного чая “The Ritual”
347,Коммерческая недвижимость KnightFrank,347,knight-frank-presentation,https://veonix.ru/wp/wp-content/uploads/2018/06/fil3.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/p8.svg,Создание каталога для риэлторского агентства,Коммерческая недвижимость KnightFrank
373,Студия декора “Червалина”,373,marketing-kit-dekor,https://veonix.ru/wp/wp-content/uploads/2019/05/chervalin640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logochervalina.svg,Разработка маркетинг-кита с каталогом продукции,Студия декора “Червалина”
356,Waltz&Tietz,356,marketing-whale-investment,https://veonix.ru/wp/wp-content/uploads/2018/06/wt2640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/walttietze-1.svg,Маркетинг-кит для инвесторов,Waltz&Tietz
